AccessorID,Location (vlookup)
2234-002-009,6848 FIRMAMENT AVE  LOS ANGELES CA  91406
2627-020-004,13186 TONOPAH ST  LOS ANGELES CA  91331
2618-010-006,13774 LOUVRE ST  LOS ANGELES CA  91331
5484-033-026,6148 MOUNT ANGELUS DR  LOS ANGELES CA  90042
2731-013-015,10409 CANBY AVE  LOS ANGELES CA  91326
4006-026-027,6820 11TH AVE  LOS ANGELES CA  90043
2175-022-018,5049 HOOD DR  LOS ANGELES CA  91364
2055-017-027,5507 LEWIS LN  AGOURA HILLS CA  91301
5662-011-016,431 ELVINA DR  GLENDALE CA  91206
2022-023-054,7362 ASMAN AVE  LOS ANGELES CA  91307
2303-006-042,7760 VARNA AVE  LOS ANGELES CA  91605
2420-012-018,4842 PLACIDIA AVE  LOS ANGELES CA  91601
8684-017-011,308 W DURANT ST  AZUSA CA  91702
2274-009-014,3509 OAKFIELD DR  LOS ANGELES CA  91423
2672-004-015,9001 GAYNOR AVE  LOS ANGELES CA  91343
2320-013-008,6724 TROOST AVE  LOS ANGELES CA  91606
2316-025-014,7262 CAMELLIA AVE  LOS ANGELES CA  91605
2570-019-014,6576 QUINTON LN  LOS ANGELES CA  91042
2347-012-012,5516 HERMITAGE AVE  LOS ANGELES CA  91607
2722-016-014,10342 JORDAN AVE  LOS ANGELES CA  91311
2762-011-006,19240 BALLINGER ST  LOS ANGELES CA  91324
2627-005-010,13454 RANGOON ST  LOS ANGELES CA  91331
5529-010-027,813 N HARPER AVE  LOS ANGELES CA  90046
5312-025-018,657 S AVENUE 60  LOS ANGELES CA  90042
2505-004-015,14806 RYAN ST  LOS ANGELES CA  91342
2118-007-003,18718 COVELLO ST  LOS ANGELES CA  91335
4027-002-006,9512 S 2ND AVE  INGLEWOOD CA  90305
5050-016-002,4414 W 28TH ST  LOS ANGELES CA  90016
6015-026-001,1558 W 69TH ST  LOS ANGELES CA  90047
5525-018-020,620 N SYCAMORE AVE  LOS ANGELES CA  90036
2255-012-007,5631 GRAVES AVE  LOS ANGELES CA  91316
2762-037-017,18901 CITRONIA ST  LOS ANGELES CA  91324
2220-015-022,15012 MARLIN PL  LOS ANGELES CA  91405
2668-019-010,16035 BLACKHAWK ST  LOS ANGELES CA  91344
5072-023-018,1632 5TH AVE  LOS ANGELES CA  90019
2722-013-015,10443 HILLVIEW AVE  LOS ANGELES CA  91311
2415-011-008,5811 SATSUMA AVE  LOS ANGELES CA  91601
5305-022-018,4465 W ROSE HILL DR  LOS ANGELES CA  90032
6017-005-006,2126 W 73RD ST  LOS ANGELES CA  90047
4029-006-016,10958 SPINNING AVE  INGLEWOOD CA  90303
2715-019-025,11341 BERTRAND AVE  LOS ANGELES CA  91344
2167-006-013,5132 COMERCIO AVE  LOS ANGELES CA  91364
2123-015-003,6419 HESPERIA AVE  LOS ANGELES CA  91335
3148-047-058,1618 E AVENUE J3  LANCASTER CA  93535
5042-020-017,1918 W 36TH PL  LOS ANGELES CA  90018
4007-004-003,6011 3RD AVE  LOS ANGELES CA  90043
6069-022-027,1633 E 114TH ST  LOS ANGELES CA  90059
6120-006-024,715 W 156TH ST  LOS ANGELES CA  90247
2234-004-013,6725 BLUCHER AVE  LOS ANGELES CA  91406
5590-013-007,1934 DRACENA DR  LOS ANGELES CA  90027
2612-026-004,11773 PEARWOOD AVE  LOS ANGELES CA  91342
6037-021-011,1416 W 90TH PL  LOS ANGELES CA  90047
6030-003-019,163 E 81ST ST  LOS ANGELES CA  90003
4416-026-018,231 BELLINO DR  LOS ANGELES CA  90272
5407-017-050,"630 N GRAND AVE, UNIT 405  LOS ANGELES CA  90012"
5075-019-030,1738 S BERENDO ST  LOS ANGELES CA  90006
2557-027-022,10521 IRMA AVE  LOS ANGELES CA  91042
2356-025-001,12304 ADDISON ST  LOS ANGELES CA  91607
3142-007-027,44721 2ND ST E  LANCASTER CA  93535
2608-032-023,17468 GOLDEN LN  LOS ANGELES CA  91344
2650-018-026,9654 NATICK AVE  LOS ANGELES CA  91343
2624-015-006,9807 TELFAIR AVE  LOS ANGELES CA  91331
6046-015-012,9528 ANZAC AVE  LOS ANGELES CA  90002
3125-017-018,42843 CINEMA AVE  LANCASTER CA  93534
5089-022-007,820 S DETROIT ST  LOS ANGELES CA  90036
5435-006-015,3713 REVERE AVE  LOS ANGELES CA  90039
2627-001-011,13607 OTTOMAN ST  LOS ANGELES CA  91331
2671-019-021,16013 KNAPP ST  LOS ANGELES CA  91343
2038-028-032,22420 VANOWEN ST  LOS ANGELES CA  91307
2615-010-024,14906 COPPER ST  LOS ANGELES CA  91345
2107-022-055,20201 INGOMAR ST  LOS ANGELES CA  91306
2690-012-023,8736 AMESTOY AVE  LOS ANGELES CA  91325
2028-012-020,6901 BIRCHTON AVE  LOS ANGELES CA  91307
2615-007-026,10977 MEMORY PARK AVE  LOS ANGELES CA  91345
5616-020-007,3334 STEPHENS CIR  GLENDALE CA  91208
2627-014-018,13237 OTTOMAN ST  LOS ANGELES CA  91331
2623-020-003,10014 HADDON AVE  LOS ANGELES CA  91331
4123-015-055,8700 LILIENTHAL AVE  LOS ANGELES CA  90045
2621-025-015,9659 BARTEE AVE  LOS ANGELES CA  91331
4231-015-002,4310 WESTLAWN AVE  LOS ANGELES CA  90066
2622-004-004,13350 GARBER ST  LOS ANGELES CA  91331
2766-010-010,9246 SHOSHONE AVE  LOS ANGELES CA  91325
5021-031-044,1758 W 41ST ST  LOS ANGELES CA  90062
4214-013-008,3852 MCLAUGHLIN AVE  LOS ANGELES CA  90066
4302-029-037,1929 S GARTH AVE  LOS ANGELES CA  90034
5616-019-009,3251 DORA VERDUGO DR  GLENDALE CA  91208
